,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
348,0.531693,0.498652,0.071014,0.680886,0.0,0.0,0.0,-0.174498,0.730983,0.648939,-0.118709,-0.442918182,0.7086854859999999,1.035063232,-0.622264,-0.185577,0.177273,0.739543,-0.327787659,0.813196594,1.236340332
349,0.591492,0.413474,0.174839,0.669782,0.0,0.0,0.0,-0.174817,0.73217,0.647616,-0.118153,-0.442550049,0.708627991,1.0330982670000002,-0.618052,-0.18663,0.178315,0.742553,-0.32781115699999996,0.813184021,1.239876465
350,0.646151,0.310169,0.263249,0.645743,0.0,0.0,0.0,-0.172547,0.730876,0.649667,-0.118243,-0.441586304,0.708488953,1.032244263,-0.617569,-0.187152,0.178237,0.742842,-0.327681641,0.813335999,1.242302002
351,0.685997,0.213842,0.359156,0.595556,0.0,0.0,0.0,-0.174779,0.733581,0.645903,-0.118826,-0.441844299,0.708306274,1.0296096190000001,-0.612738,-0.188695,0.179123,0.746231,-0.32776464800000005,0.813190918,1.24599231
352,0.710613,0.112047,0.444499,0.533756,0.0,0.0,0.0,-0.17515,0.73463,0.644631,-0.118714,-0.441542328,0.708168396,1.027800415,-0.612568,-0.189504,0.179128,0.746165,-0.327685333,0.813314636,1.248335815
353,0.715091,-0.002283,0.518222,0.469133,0.0,0.0,0.0,-0.17598,0.734778,0.643922,-0.1204,-0.441502686,0.707882629,1.026307861,-0.610123,-0.190063,0.17955,0.747923,-0.327564697,0.813345642,1.251404297
354,0.708501,-0.102147,0.581104,0.387183,0.0,0.0,0.0,-0.176395,0.736225,0.642286,-0.119691,-0.44110385100000005,0.707819397,1.024514648,-0.60512,-0.19106,0.180606,0.75147,-0.327569489,0.8131917110000001,1.255275513
355,0.682055,-0.201969,0.635725,0.299772,0.0,0.0,0.0,-0.177557,0.73707,0.640963,-0.119864,-0.440983002,0.707598206,1.022844666,-0.60494,-0.191371,0.180743,0.751503,-0.327376465,0.813301636,1.257667358
356,0.646006,-0.304954,0.668928,0.205462,0.0,0.0,0.0,-0.175525,0.736105,0.642636,-0.119831,-0.44015039100000003,0.707452515,1.022167542,-0.599633,-0.192787,0.182008,0.755081,-0.32747464000000004,0.8130200200000001,1.261555298
357,0.589236,-0.395553,0.696286,0.107356,0.0,0.0,0.0,-0.173438,0.737675,0.641613,-0.11869,-0.439235535,0.707602661,1.020689026,-0.597528,-0.196403,0.183133,0.755546,-0.328092377,0.812817017,1.264386719
358,0.531023,-0.485083,0.694761,0.004088,0.0,0.0,0.0,-0.175975,0.738922,0.639432,-0.118976,-0.439411255,0.707235901,1.018822327,-0.597037,-0.194274,0.182171,0.756715,-0.32713253800000003,0.813046692,1.266971191
359,0.406798,-0.558851,0.719591,-0.066251,0.0,0.0,0.0,-0.178117,0.738645,0.638884,-0.120439,-0.439580902,0.706876892,1.017707581,-0.594325,-0.194912,0.182575,0.758586,-0.326962128,0.81294281,1.270071167
360,0.372035,-0.624824,0.655981,-0.20217,0.0,0.0,0.0,-0.178799,0.739173,0.637947,-0.121152,-0.439419312,0.706613098,1.016448975,-0.589238,-0.195617,0.183872,0.762052,-0.326969513,0.812659302,1.274008789
361,0.258293,-0.67441,0.628813,-0.288186,0.0,0.0,0.0,-0.174818,0.740072,0.638439,-0.11886,-0.43796606400000004,0.706886841,1.015440369,-0.586464,-0.197276,0.18415,0.763696,-0.326898621,0.812461914,1.276968506
362,0.168724,-0.704311,0.570087,-0.387915,0.0,0.0,0.0,-0.176464,0.743861,0.633586,-0.118739,-0.43780917399999997,0.706454773,1.01280249,-0.584052,-0.197806,0.18443,0.765337,-0.32671426400000003,0.812338562,1.280057617
363,0.06934,-0.718518,0.505794,-0.472331,0.0,0.0,0.0,-0.178288,0.741107,0.635999,-0.120333,-0.437950134,0.706212952,1.012838501,-0.583764,-0.201284,0.185137,0.764479,-0.32725946,0.812178528,1.282247437
364,-0.043436,-0.722996,0.43076,-0.538364,0.0,0.0,0.0,-0.179773,0.745139,0.63116,-0.118688,-0.43761697400000005,0.705977112,1.010160583,-0.580737,-0.198829,0.184753,0.767514,-0.32626474,0.812162476,1.285666626
365,-0.149473,-0.709109,0.346895,-0.595388,0.0,0.0,0.0,-0.180475,0.744427,0.631841,-0.118465,-0.437309601,0.705903625,1.009569397,-0.575652,-0.199675,0.185872,0.770848,-0.326149292,0.811753601,1.2895196530000002
366,-0.251524,-0.682147,0.254456,-0.637701,0.0,0.0,0.0,-0.177537,0.743086,0.634032,-0.11961,-0.43657669099999996,0.7057387700000001,1.009425293,-0.572686,-0.200449,0.186463,0.772711,-0.32603591899999995,0.811480408,1.292782837
367,-0.348249,-0.638665,0.155019,-0.66843,0.0,0.0,0.0,-0.176996,0.743763,0.633866,-0.117059,-0.435413055,0.705666016,1.008230469,-0.570236,-0.200909,0.186391,0.774419,-0.32566983,0.811356934,1.295866211
