,index,Unnamed: 0,Frame,Sub Frame,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-TX,stick_right-TY,stick_right-TZ
1719,16719,16719,16720,0,1.6313921143466952,-0.806552283583865,0.9202785304071952,-526.051514,568.740845,438.764832,1.5083604027526911,0.0293642753053239,-2.2652768252380766,-586.780457,502.34549,1124.584839,-1.2992610001498988,-0.1929162529303539,0.7860307891661192,-391.790253,764.465271,1229.410645
1720,16720,16720,16721,0,1.6755215306988442,-1.094258018626002,0.8607215796965303,-524.819275,570.224609,439.227448,1.5077946352643057,0.0293276476208392,-2.2655306495624763,-586.889404,502.201019,1124.912109,-1.297104942558586,-0.1862971162724406,0.7838848351989472,-391.804749,763.816528,1229.403931
1721,16721,16721,16722,0,1.7192710614316624,-1.3912650381917775,0.8141359836257936,-525.165161,570.642334,437.13147,1.4990535909350642,0.0264351644868724,-2.2680876127012293,-586.817749,502.283203,1126.318115,-1.2947846139642027,-0.1798478623204062,0.7861733037899327,-392.210114,762.722229,1229.480591
1722,16722,16722,16723,0,-2.000279614602426,-1.4439567304661027,-1.7614615594785596,-523.992004,571.04425,439.695099,1.4810024568032834,0.0284307997009174,-2.2654819813155824,-587.084961,501.571228,1128.696167,-1.2991803135872768,-0.1793132575191069,0.7906337837851626,-393.149994,761.730957,1228.815552
1723,16723,16723,16724,0,-1.6703048857759877,-1.1606715975343374,-2.1060287704973826,-523.43335,572.641296,438.656921,1.5052041892027763,0.0310570193221025,-2.2651279056629794,-587.358521,501.582092,1125.923218,-1.2975595763915897,-0.1778313127300791,0.7949614241475755,-393.840363,760.423462,1228.631836
1724,16724,16724,16725,0,-1.6550427309130646,-0.8667568366768682,-2.135735516414242,-522.821533,572.935181,440.487152,1.5051049319301988,0.0317283882031745,-2.2655696858941674,-587.483582,501.450012,1126.174683,-1.2968426996936326,-0.1714930143388474,0.7943679591453056,-394.046814,759.767029,1228.559204
1725,16725,16725,16726,0,-1.645804622222044,-0.5726459447777359,-2.152012139988092,-522.923584,572.487854,441.485779,1.5048584332761483,0.0300246379368509,-2.2676945232682817,-587.474243,501.522308,1126.459961,-1.297552791057638,-0.1673523553349385,0.7954579458961911,-394.442322,758.99939,1228.200317
1726,16726,16726,16727,0,-1.6325303515582965,-0.2809905511029953,-2.1843330254384528,-522.451782,573.276855,441.677643,1.5038644855546308,0.0306530540003959,-2.2673936907558123,-587.659607,501.293365,1126.798462,-1.2967843079033667,-0.1642744342535413,0.7975460684074092,-394.881622,758.062012,1227.966309
1727,16727,16727,16728,0,-1.6111994468899484,0.0006190743555436,-2.270027866457837,-519.444092,578.563843,439.874939,1.5027088017280084,0.0308989535932492,-2.2673011218107333,-587.819885,501.101196,1127.152954,-1.2946105787100353,-0.1581401863235752,0.7957076629394206,-394.83078,757.493103,1227.846191
1728,16728,16728,16729,0,-1.6469067247376878,0.3078074956541468,-2.22033653113657,-522.436768,572.743286,443.733887,1.502114031775522,0.0314948938373841,-2.266916018703468,-588.002014,500.864136,1127.418213,-1.293909076268285,-0.1546631987714603,0.7967747344772911,-395.165771,756.708618,1227.586548
